País,Clics,Impresiones,CTR,Posición
Nueva Zelanda,5,30,16.67%,16.13
Argentina,1,84,1.19%,9.29
Estados Unidos,0,34,0%,9.56
Reino Unido,0,6,0%,7.83
México,0,6,0%,9.67
Australia,0,5,0%,68.4
Canadá,0,4,0%,7.75
La India,0,3,0%,5.67
Pakistán,0,2,0%,2
Filipinas,0,2,0%,4
Caribe Neerlandés,0,2,0%,7
Chile,0,2,0%,8
Alemania,0,2,0%,8.5
Uruguay,0,2,0%,9.5
Ecuador,0,2,0%,11.5
Perú,0,2,0%,16.5
Israel,0,1,0%,1
Corea del Sur,0,1,0%,1
Singapur,0,1,0%,1
Kenia,0,1,0%,2
Portugal,0,1,0%,2
Brasil,0,1,0%,3
Bangladés,0,1,0%,5
Kazajistán,0,1,0%,7
Grecia,0,1,0%,8
Marruecos,0,1,0%,8
Costa Rica,0,1,0%,9
Países Bajos,0,1,0%,9
Serbia,0,1,0%,9
Taiwán,0,1,0%,9
Andorra,0,1,0%,10
Emiratos Árabes Unidos,0,1,0%,10
Indonesia,0,1,0%,11
El Salvador,0,1,0%,11
Aruba,0,1,0%,13
Venezuela,0,1,0%,20
Omán,0,1,0%,42